Day fraction since midnight on 	pH probe (pH)	Source pressure (Pa)
0.6123185790	8.3582162857	0.0000000000
0.6123301546	8.4112939835	0.0000000000
0.6123417274	8.3382568359	0.0000000000
0.6123533095	8.4247550964	0.0000000000
0.6123648803	8.3996381760	0.0000000000
0.6123764514	8.3860960007	0.0000000000
0.6123880237	8.3990011215	0.0000000000
0.6123995976	8.3382425308	0.0000000000
0.6124111791	8.3455028534	0.0000000000
0.6124227539	8.3567686081	0.0000000000
0.6124343153	8.3469371796	0.0000000000
0.6124458982	8.3647670746	0.0000000000
0.6124574637	8.3289756775	0.0000000000
0.6124690463	8.3150081635	0.0000000000
0.6124806115	8.4020071030	0.0000000000
0.6124921915	8.4189891815	0.0000000000
0.6125037602	8.3031291962	0.0000000000
0.6125153406	8.3661594391	0.0000000000
0.6125269078	8.3519935608	0.0000000000
0.6125384923	8.3569831848	0.0000000000
0.6125500572	8.3552818298	0.0000000000
0.6125616430	8.3225421906	0.0000000000
0.6125732144	8.3058691025	0.0000000000
0.6125847840	8.3477687836	0.0000000000
0.6125963577	8.3118267059	0.0000000000
0.6126079380	8.3447885513	0.0000000000
0.6126195080	8.3843984604	0.0000000000
0.6126310819	8.3429775238	0.0000000000
0.6126426552	8.3790063858	0.0000000000
0.6126542308	8.2999210358	0.0000000000
0.6126658099	8.3466806412	0.0000000000
0.6126773759	8.3111734390	0.0000000000
0.6126889530	8.3309154510	0.0000000000
0.6127005273	8.3118839264	0.0000000000
0.6127120984	8.3022098541	0.0000000000
0.6127236714	8.3175554276	0.0000000000
0.6127352533	8.2986001968	0.0000000000
0.6127468164	8.2660388947	0.0000000000
0.6127583960	8.2917442322	0.0000000000
0.6127699735	8.2795505524	0.0000000000
0.6127815441	8.3065586090	0.0000000000
0.6127931180	8.2926635742	0.0000000000
0.6128046900	8.2829227448	0.0000000000
0.6128162622	8.3135423660	0.0000000000
0.6128278453	8.3009929657	0.0000000000
0.6128394181	8.3296823502	0.0000000000
0.6128509830	8.2686204910	0.0000000000
0.6128625622	8.3058042526	0.0000000000
0.6128741327	8.3094940186	0.0000000000
0.6128857106	8.2907447815	0.0000000000
0.6128972849	8.2566795349	0.0000000000
0.6129088588	8.3317689896	0.0000000000
0.6129204428	8.3133659363	0.0000000000
0.6129320022	8.2717494965	0.0000000000
0.6129435847	8.3153648376	0.0000000000
0.6129551548	8.3447456360	0.0000000000
0.6129667293	8.2660522461	0.0000000000
0.6129783022	8.2535200119	0.0000000000
0.6129898767	8.2976541519	0.0000000000
0.6130014501	8.3062763214	0.0000000000
0.6130130261	8.2557334900	0.0000000000
0.6130246151	8.2704448700	0.0000000000
0.6130361676	8.2524795532	0.0000000000
0.6130477438	8.3078842163	0.0000000000
