Day fraction since midnight on 	Photometer (mg/L)	Photometer (volts)
0.6433001123	22.1074085236	-0.9057747126
0.6433579895	21.7793121338	-0.8911229372
0.6434158433	21.5004863739	-0.8782533407
0.6434737203	21.1917076111	-0.8635376096
0.6435315972	20.8904571533	-0.8486958146
0.6435894511	20.6444644928	-0.8362101316
0.6436473276	20.4622726440	-0.8267446160
0.6437052048	20.1179447174	-0.8083346486
0.6437630610	19.8062496185	-0.7910635471
0.6438209380	19.5776023865	-0.7780161500
0.6438788146	19.2527675629	-0.7589122653
0.6439366687	18.9539012909	-0.7407287359
0.6439945456	18.6918029785	-0.7242876887
0.6440524263	18.4607601166	-0.7094004154
0.6441102802	18.1456241608	-0.6884810925
0.6441681594	17.9131317139	-0.6725810766
0.6442260132	17.6201324463	-0.6519611478
0.6442838899	17.3547039032	-0.6327049136
0.6443417672	17.1325454712	-0.6161543131
0.6443996437	16.8932590485	-0.5978740454
0.6444574978	16.6497669220	-0.5787770748
0.6445153771	16.4102001190	-0.5594872236
0.6445732333	16.1845569611	-0.5408524275
0.6446311098	15.8701887131	-0.5141148567
0.6446889915	15.7102451324	-0.5001559854
0.6447468454	15.4364023209	-0.4756848514
0.6448047244	15.1977176666	-0.4537521005
0.6448626014	14.9536485672	-0.4307272434
0.6449204549	14.7513866425	-0.4111771584
0.6449783382	14.5413322449	-0.3904127479
0.6450361922	14.2790536880	-0.3638102412
0.6450940728	14.1192321777	-0.3472231328
0.6451519289	13.8894891739	-0.3228679001
0.6452098081	13.6980514526	-0.3021027446
0.6452676850	13.4868841171	-0.2786896825
0.6453255385	13.2849216461	-0.2557878792
0.6453834157	13.1100320816	-0.2355450243
0.6454412924	12.9072608948	-0.2115872055
0.6454991465	12.6694469452	-0.1828066409
0.6455570234	12.5150136948	-0.1637136787
0.6456149003	12.3354606628	-0.1411075741
0.6456727539	12.1123456955	-0.1123941392
0.6457306311	11.9166355133	-0.0866266191
0.6457885081	11.7500925064	-0.0642626286
0.6458463850	11.5486288071	-0.0366616435
0.6459042423	11.3780517578	-0.0128140654
0.6459621238	11.2012395859	0.0123773785
0.6460199836	11.0454912186	0.0349730738
0.6460778628	10.8468017578	0.0643603951
0.6461357173	10.7120542526	0.0846553743
0.6461935944	10.5299892426	0.1125543937
0.6462514717	10.3780145645	0.1362697631
0.6463093263	10.2126960754	0.1625170112
0.6463672264	10.0355615616	0.1911697686
0.6464250810	9.9064998627	0.2123972178
0.6464829352	9.7533998489	0.2379682809
0.6465408126	9.5904970169	0.2656487823
0.6465986958	9.4345226288	0.2926162779
0.6466565502	9.3104047775	0.3144055307
0.6467144344	9.1433315277	0.3442048132
0.6467723118	8.9966955185	0.3708093464
0.6468301660	8.8719177246	0.3937849700
0.6468880431	8.7270002365	0.4208637774
0.6469459249	8.5986852646	0.4451998472
0.6470037717	8.4734964371	0.4692727923
0.6470616491	8.3293447495	0.4974018037
0.6471195034	8.2146902084	0.5200923085
0.6471773806	8.0598440170	0.5511902571
0.6472352604	7.9445171356	0.5746944547
0.6472931143	7.8344526291	0.5974031687
0.6473509854	7.7019085884	0.6251136661
0.6474088629	7.5750079155	0.6520217061
0.6474667403	7.4656515121	0.6755098104
0.6475245968	7.3390130997	0.7030617595
0.6475824785	7.2297658920	0.7271372080
0.6476403373	7.0924220085	0.7578136921
0.6476982206	6.9954652786	0.7797474265
0.6477560774	6.8748412132	0.8073604703
0.6478139548	6.7706894875	0.8314962983
0.6478718321	6.6574277878	0.8580557704
0.6479296861	6.5565328598	0.8819928765
0.6479875869	6.4562654495	0.9060430527
0.6480454411	6.3470892906	0.9325303435
0.6481032951	6.2387022972	0.9591396451
0.6481611727	6.1481070518	0.9816232324
0.6482190501	6.0427060127	1.0080620050
0.6482769043	5.9450149536	1.0328392982
0.6483347849	5.8625559807	1.0539593697
0.6483926650	5.7641410828	1.0794157982
0.6484505195	5.6806821823	1.1012183428
0.6485083988	5.5839271545	1.1267436743
0.6485662758	5.4776124954	1.1551028490
0.6486241304	5.3986649513	1.1763753891
0.6486820096	5.2965731621	1.2041567564
0.6487398639	5.2261147499	1.2235109806
0.6487977415	5.1435465813	1.2463812828
0.6488556209	5.0517034531	1.2720634937
0.6489134777	4.9689650536	1.2954206467
0.6489713781	4.8843441010	1.3195279837
0.6490292343	4.8006272316	1.3435974121
0.6490870886	4.7226567268	1.3662128448
0.6491449682	4.6487460136	1.3878288269
0.6492028458	4.5652389526	1.4124616385
0.6492606998	4.4952898026	1.4332681894
0.6493185772	4.4181618690	1.4563945532
0.6493764356	4.3417572975	1.4794963598
0.6494343131	4.2685623169	1.5018087626
0.6494921906	4.1946001053	1.5245363712
0.6495500701	4.1249914169	1.5460941792
0.6496079480	4.0519633293	1.5688871145
0.6496658021	3.9887678623	1.5887581110
0.6497236591	3.9178037643	1.6112354994
0.6497815594	3.8537333012	1.6316790581
0.6498394141	3.7907004356	1.6519312859
0.6498972686	3.7245440483	1.6733371019
0.6499551481	3.6614806652	1.6938861609
0.6500130281	3.6056625843	1.7121925354
0.6500708867	3.5370049477	1.7348629236
0.6501287642	3.4765465260	1.7549668550
0.6501866189	3.4183776379	1.7744348049
0.6502445195	3.3471996784	1.7984249592
0.6503023763	3.3057975769	1.8124650717
0.6503602306	3.2477819920	1.8322459459
0.6504181101	3.1889376640	1.8524374962
0.6504759878	3.1312055588	1.8723734617
0.6505338420	3.0761561394	1.8915002346
0.6505917197	3.0204839706	1.9109603167
0.6506495969	2.9759268761	1.9266203642
0.6507074536	2.9189214706	1.9467666149
0.6507653311	2.8589723110	1.9680885077
0.6508232089	2.8161718845	1.9833966494
0.6508810632	2.7580096722	2.0043137074
0.6509389638	2.7140278816	2.0202193260
0.6509968201	2.6629600525	2.0387833118
0.6510546767	2.6100616455	2.0581219196
0.6511125565	2.5702443123	2.0727519989
0.6511704153	2.5172791481	2.0923116207
0.6512282927	2.4765832424	2.1074171066
0.6512861725	2.4342885017	2.1231870651
0.6513440269	2.3893878460	2.1400084496
0.6514019128	2.3450965881	2.1566822529
0.6514597692	2.2997777462	2.1738264561
0.6515176490	2.2549257278	2.1908774376
0.6515755033	2.2195942402	2.2043678761
0.6516333828	2.1675024033	2.2243528366
0.6516912606	2.1291437149	2.2391417027
0.6517491149	2.0911436081	2.2538533211
0.6518069924	2.0535364151	2.2684729099
0.6518648722	2.0115005970	2.2848851681
0.6519227288	1.9775700569	2.2981877327
0.6519806104	1.9328353405	2.3158013821
0.6520384649	1.9048299789	2.3268718719
0.6520963423	1.8645583391	2.3428504467
0.6521542217	1.8285002708	2.3572168350
0.6522120764	1.7915992737	2.3719775677
0.6522699539	1.7535325289	2.3872668743
0.6523278314	1.7241758108	2.3991012573
0.6523856857	1.6875066757	2.4139366150
0.6524435632	1.6535350084	2.4277336597
0.6525014404	1.6230980158	2.4401385784
0.6525592951	1.5938436985	2.4521002769
0.6526171726	1.5563266277	2.4674963951
0.6526750541	1.5275249481	2.4793586731
0.6527329108	1.4972969294	2.4918484688
0.6527907883	1.4658373594	2.5048909187
0.6528486658	1.4337785244	2.5182278156
0.6529065202	1.4074457884	2.5292174816
0.6529643976	1.3704924583	2.5446927547
0.6530222751	1.3473531008	2.5544147491
0.6530801295	1.3156921864	2.5677568913
0.6531380301	1.2846342325	2.5808897018
0.6531958842	1.2602277994	2.5912411213
0.6532537620	1.2333635092	2.6026668549
0.6533116164	1.2053052187	2.6146361828
0.6533694939	1.1825400591	2.6243743896
0.6534273502	1.1525803804	2.6372270584
0.6534852303	1.1269448996	2.6482579708
0.6535431078	1.1013284922	2.6593115330
0.6536009621	1.0766532421	2.6699881554
0.6536588420	1.0486727953	2.6821296215
0.6537167005	1.0251436234	2.6923682690
0.6537745783	1.0031062365	2.7019815445
0.6538324559	0.9775809646	2.7131452560
0.6538903100	0.9561015964	2.7225635052
0.6539481876	0.9317073822	2.7332866192
0.6540060656	0.9110434651	2.7423923016
0.6540639200	0.8874422312	2.7528173923
0.6541218230	0.8650313020	2.7627415657
0.6541796778	0.8454380035	2.7714378834
0.6542375320	0.8212162852	2.7822141647
0.6542954141	0.8047393560	2.7895610332
0.6543532920	0.7810071707	2.8001661301
0.6544111504	0.7631432414	2.8081669807
0.6544690280	0.7419033647	2.8177001476
0.6545269054	0.7222647667	2.8265342712
0.6545847598	0.7020874023	2.8356304169
0.6546426378	0.6805733442	2.8453512192
0.6547004922	0.6654835939	2.8521828651
0.6547583699	0.6411235929	2.8632352352
0.6548162475	0.6273586750	2.8694934845
0.6548741038	0.6063481569	2.8790640831
0.6549319816	0.5880221725	2.8874297142
0.6549898639	0.5709481835	2.8952388763
0.6550477229	0.5501352549	2.9047777653
0.6551056004	0.5366133451	2.9109866619
0.6551634549	0.5148018599	2.9210212231
0.6552213326	0.5009999871	2.9273831844
0.6552791954	0.4869030714	2.9338910580
0.6553370730	0.4682080448	2.9425370693
0.6553949505	0.4537653923	2.9492285252
0.6554528281	0.4360639155	2.9574441910
0.6555106824	0.4219202101	2.9640200138
0.6555685603	0.4053795934	2.9717230797
0.6556264188	0.3893757463	2.9791893959
0.6556842965	0.3733854592	2.9866623878
0.6557421786	0.3609777987	2.9924700260
0.6558000335	0.3432529569	3.0007801056
0.6558579109	0.3293964267	3.0072877407
0.6559157905	0.3189702630	3.0121908188
0.6559736451	0.3014764190	3.0204300880
0.6560315228	0.2901943326	3.0257520676
0.6560894002	0.2757478356	3.0325763226
0.6561472568	0.2610073090	3.0395505428
0.6562051347	0.2477750331	3.0458207130
0.6562630168	0.2336626202	3.0525178909
